Date,Value,Day,Month,Year,DayOfYear,Value_RF,Value_LR,Value_Interp
2022-09-19,27.0,19,9,2022,262,,,27
2022-09-20,101.0,20,9,2022,263,,,101
2022-09-21,,21,9,2022,264,96.0,51.0,106
2022-09-22,112.0,22,9,2022,265,,,112
2022-09-23,119.0,23,9,2022,266,,,119
2022-09-24,,24,9,2022,267,78.0,50.0,89
2022-09-25,,25,9,2022,268,73.0,49.0,60
2022-09-26,,26,9,2022,269,62.0,49.0,30
2022-09-27,0.0,27,9,2022,270,,,0
2022-09-28,,28,9,2022,271,39.0,48.0,8
2022-09-29,,29,9,2022,272,41.0,48.0,16
2022-09-30,,30,9,2022,273,43.0,48.0,24
2022-10-01,,1,10,2022,274,83.0,77.0,31
2022-10-02,,2,10,2022,275,51.0,77.0,39
2022-10-03,47.0,3,10,2022,276,,,47
2022-10-04,,4,10,2022,277,45.0,76.0,41
2022-10-05,,5,10,2022,278,44.0,76.0,35
2022-10-06,,6,10,2022,279,43.0,76.0,30
2022-10-07,,7,10,2022,280,29.0,75.0,24
2022-10-08,,8,10,2022,281,31.0,75.0,18
2022-10-09,12.0,9,10,2022,282,,,12
2022-10-10,,10,10,2022,283,31.0,74.0,34
2022-10-11,,11,10,2022,284,62.0,74.0,56
2022-10-12,78.0,12,10,2022,285,,,78
2022-10-13,55.0,13,10,2022,286,,,55
2022-10-14,50.0,14,10,2022,287,,,50
2022-10-15,,15,10,2022,288,55.0,72.0,51
2022-10-16,,16,10,2022,289,57.0,72.0,52
2022-10-17,,17,10,2022,290,59.0,72.0,52
2022-10-18,,18,10,2022,291,60.0,71.0,53
2022-10-19,,19,10,2022,292,59.0,71.0,54
2022-10-20,,20,10,2022,293,68.0,70.0,54
2022-10-21,,21,10,2022,294,70.0,70.0,55
2022-10-22,,22,10,2022,295,72.0,70.0,56
2022-10-23,,23,10,2022,296,75.0,69.0,57
2022-10-24,,24,10,2022,297,73.0,69.0,58
2022-10-25,,25,10,2022,298,70.0,69.0,58
2022-10-26,59.0,26,10,2022,299,,,59
2022-10-27,,27,10,2022,300,61.0,68.0,63
2022-10-28,,28,10,2022,301,60.0,68.0,67
2022-10-29,,29,10,2022,302,65.0,67.0,72
2022-10-30,,30,10,2022,303,69.0,67.0,76
2022-10-31,80.0,31,10,2022,304,,,80
2022-11-01,,1,11,2022,305,65.0,46.0,75
2022-11-02,,2,11,2022,306,63.0,46.0,70
2022-11-03,,3,11,2022,307,62.0,46.0,65
2022-11-04,60.0,4,11,2022,308,,,60
2022-11-05,,5,11,2022,309,60.0,45.0,60
2022-11-06,,6,11,2022,310,60.0,45.0,60
2022-11-07,,7,11,2022,311,59.0,44.0,60
2022-11-08,,8,11,2022,312,56.0,44.0,60
2022-11-09,,9,11,2022,313,55.0,44.0,60
2022-11-10,,10,11,2022,314,51.0,43.0,61
2022-11-11,,11,11,2022,315,38.0,43.0,61
2022-11-12,,12,11,2022,316,33.0,43.0,61
2022-11-13,,13,11,2022,317,35.0,42.0,61
2022-11-14,,14,11,2022,318,44.0,42.0,61
2022-11-15,,15,11,2022,319,46.0,41.0,61
2022-11-16,,16,11,2022,320,48.0,41.0,61
2022-11-17,,17,11,2022,321,49.0,41.0,61
2022-11-18,,18,11,2022,322,50.0,40.0,61
2022-11-19,,19,11,2022,323,54.0,40.0,61
2022-11-20,,20,11,2022,324,55.0,40.0,61
2022-11-21,,21,11,2022,325,55.0,39.0,61
2022-11-22,,22,11,2022,326,52.0,39.0,62
2022-11-23,,23,11,2022,327,51.0,39.0,62
2022-11-24,,24,11,2022,328,41.0,38.0,62
2022-11-25,,25,11,2022,329,34.0,38.0,62
2022-11-26,,26,11,2022,330,26.0,37.0,62
2022-11-27,,27,11,2022,331,34.0,37.0,62
2022-11-28,,28,11,2022,332,40.0,37.0,62
2022-11-29,,29,11,2022,333,53.0,36.0,62
2022-11-30,,30,11,2022,334,46.0,36.0,62
2022-12-01,,1,12,2022,335,48.0,66.0,62
2022-12-02,,2,12,2022,336,41.0,65.0,62
2022-12-03,,3,12,2022,337,41.0,65.0,63
2022-12-04,,4,12,2022,338,41.0,65.0,63
2022-12-05,,5,12,2022,339,39.0,64.0,63
2022-12-06,,6,12,2022,340,40.0,64.0,63
2022-12-07,,7,12,2022,341,39.0,64.0,63
2022-12-08,,8,12,2022,342,39.0,63.0,63
2022-12-09,,9,12,2022,343,39.0,63.0,63
2022-12-10,,10,12,2022,344,39.0,62.0,63
2022-12-11,,11,12,2022,345,40.0,62.0,63
2022-12-12,,12,12,2022,346,40.0,62.0,63
2022-12-13,,13,12,2022,347,38.0,61.0,63
2022-12-14,,14,12,2022,348,38.0,61.0,63
2022-12-15,,15,12,2022,349,36.0,61.0,64
2022-12-16,,16,12,2022,350,39.0,60.0,64
2022-12-17,,17,12,2022,351,40.0,60.0,64
2022-12-18,,18,12,2022,352,52.0,60.0,64
2022-12-19,,19,12,2022,353,56.0,59.0,64
2022-12-20,64.0,20,12,2022,354,,,64
2022-12-21,,21,12,2022,355,58.0,59.0,61
2022-12-22,,22,12,2022,356,54.0,58.0,58
2022-12-23,55.0,23,12,2022,357,,,55
2022-12-24,,24,12,2022,358,52.0,57.0,53
2022-12-25,,25,12,2022,359,50.0,57.0,51
2022-12-26,,26,12,2022,360,49.0,57.0,48
2022-12-27,,27,12,2022,361,50.0,56.0,46
2022-12-28,,28,12,2022,362,51.0,56.0,44
2022-12-29,,29,12,2022,363,54.0,56.0,42
2022-12-30,,30,12,2022,364,52.0,55.0,40
2022-12-31,,31,12,2022,365,52.0,55.0,38
2023-01-01,,1,1,2023,1,63.0,72.0,35
2023-01-02,,2,1,2023,2,41.0,71.0,33
2023-01-03,31.0,3,1,2023,3,,,31
2023-01-04,,4,1,2023,4,37.0,71.0,33
2023-01-05,,5,1,2023,5,37.0,70.0,35
2023-01-06,,6,1,2023,6,42.0,70.0,37
2023-01-07,39.0,7,1,2023,7,,,39
2023-01-08,,8,1,2023,8,47.0,69.0,44
2023-01-09,,9,1,2023,9,53.0,69.0,50
2023-01-10,,10,1,2023,10,54.0,68.0,56
2023-01-11,,11,1,2023,11,62.0,68.0,61
2023-01-12,,12,1,2023,12,64.0,68.0,66
2023-01-13,72.0,13,1,2023,13,,,72
2023-01-14,,14,1,2023,14,66.0,67.0,69
2023-01-15,,15,1,2023,15,62.0,67.0,65
2023-01-16,62.0,16,1,2023,16,,,62
2023-01-17,46.0,17,1,2023,17,,,46
2023-01-18,64.0,18,1,2023,18,,,64
2023-01-19,58.0,19,1,2023,19,,,58
2023-01-20,,20,1,2023,20,53.0,65.0,44
2023-01-21,,21,1,2023,21,31.0,64.0,30
2023-01-22,16.0,22,1,2023,22,,,16
2023-01-23,45.0,23,1,2023,23,,,45
2023-01-24,,24,1,2023,24,45.0,63.0,55
2023-01-25,,25,1,2023,25,61.0,63.0,64
2023-01-26,,26,1,2023,26,72.0,63.0,74
2023-01-27,84.0,27,1,2023,27,,,84
2023-01-28,,28,1,2023,28,73.0,62.0,82
2023-01-29,,29,1,2023,29,74.0,62.0,80
2023-01-30,,30,1,2023,30,74.0,61.0,79
2023-01-31,,31,1,2023,31,75.0,61.0,77
2023-02-01,,1,2,2023,32,75.0,41.0,75
2023-02-02,,2,2,2023,33,54.0,40.0,74
2023-02-03,,3,2,2023,34,50.0,40.0,72
2023-02-04,,4,2,2023,35,49.0,40.0,70
2023-02-05,,5,2,2023,36,49.0,39.0,68
2023-02-06,,6,2,2023,37,51.0,39.0,66
2023-02-07,,7,2,2023,38,52.0,39.0,65
2023-02-08,63.0,8,2,2023,39,,,63
2023-02-09,55.0,9,2,2023,40,,,55
2023-02-10,,10,2,2023,41,53.0,38.0,40
2023-02-11,,11,2,2023,42,29.0,37.0,26
2023-02-12,11.0,12,2,2023,43,,,11
2023-02-13,,13,2,2023,44,32.0,36.0,13
2023-02-14,,14,2,2023,45,31.0,36.0,15
2023-02-15,,15,2,2023,46,28.0,36.0,17
2023-02-16,,16,2,2023,47,34.0,35.0,19
2023-02-17,,17,2,2023,48,34.0,35.0,21
2023-02-18,,18,2,2023,49,43.0,35.0,23
2023-02-19,25.0,19,2,2023,50,,,25
2023-02-20,,20,2,2023,51,49.0,34.0,52
2023-02-21,,21,2,2023,52,82.0,34.0,80
2023-02-22,107.0,22,2,2023,53,,,107
2023-02-23,,23,2,2023,54,89.0,33.0,98
2023-02-24,89.0,24,2,2023,55,,,89
2023-02-25,70.0,25,2,2023,56,,,70
2023-02-26,,26,2,2023,57,72.0,32.0,66
2023-02-27,63.0,27,2,2023,58,,,63
2023-02-28,,28,2,2023,59,83.0,31.0,102
2023-03-01,140.0,1,3,2023,60,,,140
2023-03-02,,2,3,2023,61,127.0,160.0,140
2023-03-03,141.0,3,3,2023,62,,,141
2023-03-04,106.0,4,3,2023,63,,,106
2023-03-05,,5,3,2023,64,117.0,159.0,116
2023-03-06,,6,3,2023,65,127.0,158.0,125
2023-03-07,135.0,7,3,2023,66,,,135
2023-03-08,124.0,8,3,2023,67,,,124
2023-03-09,,9,3,2023,68,127.0,157.0,130
2023-03-10,,10,3,2023,69,133.0,157.0,137
2023-03-11,,11,3,2023,70,136.0,157.0,143
2023-03-12,,12,3,2023,71,139.0,156.0,150
2023-03-13,,13,3,2023,72,151.0,156.0,156
2023-03-14,,14,3,2023,73,138.0,156.0,162
2023-03-15,,15,3,2023,74,143.0,155.0,169
2023-03-16,175.0,16,3,2023,75,,,175
2023-03-17,,17,3,2023,76,136.0,154.0,133
2023-03-18,,18,3,2023,77,89.0,154.0,90
2023-03-19,48.0,19,3,2023,78,,,48
2023-03-20,120.0,20,3,2023,79,,,120
2023-03-21,,21,3,2023,80,125.0,153.0,138
2023-03-22,156.0,22,3,2023,81,,,156
2023-03-23,,23,3,2023,82,136.0,152.0,128
2023-03-24,,24,3,2023,83,110.0,152.0,101
2023-03-25,,25,3,2023,84,82.0,152.0,74
2023-03-26,46.0,26,3,2023,85,,,46
2023-03-27,186.0,27,3,2023,86,,,186
2023-03-28,,28,3,2023,87,157.0,151.0,184
2023-03-29,182.0,29,3,2023,88,,,182
2023-03-30,161.0,30,3,2023,89,,,161
2023-03-31,159.0,31,3,2023,90,,,159
2023-04-01,,1,4,2023,91,130.0,129.0,102
2023-04-02,45.0,2,4,2023,92,,,45
2023-04-03,,3,4,2023,93,88.0,129.0,58
2023-04-04,,4,4,2023,94,91.0,128.0,72
2023-04-05,,5,4,2023,95,94.0,128.0,85
2023-04-06,,6,4,2023,96,108.0,128.0,99
2023-04-07,,7,4,2023,97,124.0,127.0,112
2023-04-08,,8,4,2023,98,128.0,127.0,126
2023-04-09,,9,4,2023,99,128.0,127.0,139
2023-04-10,,10,4,2023,100,138.0,126.0,153
2023-04-11,166.0,11,4,2023,101,,,166
2023-04-12,132.0,12,4,2023,102,,,132
2023-04-13,,13,4,2023,103,129.0,125.0,131
2023-04-14,,14,4,2023,104,128.0,125.0,129
2023-04-15,,15,4,2023,105,133.0,124.0,128
2023-04-16,,16,4,2023,106,128.0,124.0,126
2023-04-17,,17,4,2023,107,117.0,124.0,125
2023-04-18,,18,4,2023,108,102.0,123.0,124
2023-04-19,,19,4,2023,109,101.0,123.0,122
2023-04-20,121.0,20,4,2023,110,,,121
2023-04-21,,21,4,2023,111,116.0,122.0,112
2023-04-22,,22,4,2023,112,121.0,122.0,102
2023-04-23,,23,4,2023,113,116.0,121.0,93
2023-04-24,,24,4,2023,114,94.0,121.0,83
2023-04-25,,25,4,2023,115,61.0,121.0,74
2023-04-26,,26,4,2023,116,40.0,120.0,64
2023-04-27,,27,4,2023,117,47.0,120.0,55
2023-04-28,,28,4,2023,118,47.0,120.0,45
2023-04-29,36.0,29,4,2023,119,,,36
2023-04-30,10.0,30,4,2023,120,,,10
2023-05-01,,1,5,2023,121,118.0,149.0,13
2023-05-02,,2,5,2023,122,79.0,148.0,17
2023-05-03,,3,5,2023,123,66.0,148.0,20
2023-05-04,,4,5,2023,124,62.0,148.0,24
2023-05-05,,5,5,2023,125,64.0,147.0,27
2023-05-06,,6,5,2023,126,77.0,147.0,31
2023-05-07,,7,5,2023,127,83.0,146.0,34
2023-05-08,,8,5,2023,128,85.0,146.0,38
2023-05-09,,9,5,2023,129,85.0,146.0,41
2023-05-10,,10,5,2023,130,85.0,145.0,45
2023-05-11,,11,5,2023,131,88.0,145.0,48
2023-05-12,,12,5,2023,132,89.0,145.0,52
2023-05-13,,13,5,2023,133,88.0,144.0,55
2023-05-14,,14,5,2023,134,88.0,144.0,59
2023-05-15,,15,5,2023,135,89.0,144.0,62
2023-05-16,,16,5,2023,136,86.0,143.0,66
2023-05-17,69.0,17,5,2023,137,,,69
2023-05-18,,18,5,2023,138,63.0,143.0,72
2023-05-19,,19,5,2023,139,64.0,142.0,74
2023-05-20,,20,5,2023,140,78.0,142.0,77
2023-05-21,,21,5,2023,141,86.0,141.0,80
2023-05-22,,22,5,2023,142,91.0,141.0,82
2023-05-23,,23,5,2023,143,87.0,141.0,85
2023-05-24,,24,5,2023,144,66.0,140.0,88
2023-05-25,,25,5,2023,145,54.0,140.0,90
2023-05-26,,26,5,2023,146,35.0,140.0,93
2023-05-27,,27,5,2023,147,42.0,139.0,96
2023-05-28,,28,5,2023,148,43.0,139.0,98
2023-05-29,,29,5,2023,149,38.0,139.0,101
2023-05-30,,30,5,2023,150,41.0,138.0,104
2023-05-31,,31,5,2023,151,50.0,138.0,106
2023-06-01,109.0,1,6,2023,152,,,109
2023-06-02,,2,6,2023,153,84.0,117.0,88
2023-06-03,66.0,3,6,2023,154,,,66
2023-06-04,25.0,4,6,2023,155,,,25
2023-06-05,,5,6,2023,156,46.0,116.0,47
2023-06-06,,6,6,2023,157,79.0,116.0,70
2023-06-07,92.0,7,6,2023,158,,,92
2023-06-08,108.0,8,6,2023,159,,,108
2023-06-09,,9,6,2023,160,99.0,115.0,89
2023-06-10,70.0,10,6,2023,161,,,70
2023-06-11,,11,6,2023,162,87.0,114.0,84
2023-06-12,,12,6,2023,163,106.0,114.0,98
2023-06-13,112.0,13,6,2023,164,,,112
2023-06-14,97.0,14,6,2023,165,,,97
2023-06-15,121.0,15,6,2023,166,,,121
2023-06-16,101.0,16,6,2023,167,,,101
2023-06-17,,17,6,2023,168,83.0,112.0,62
2023-06-18,23.0,18,6,2023,169,,,23
2023-06-19,,19,6,2023,170,64.0,111.0,67
2023-06-20,,20,6,2023,171,113.0,111.0,111
2023-06-21,155.0,21,6,2023,172,,,155
2023-06-22,225.0,22,6,2023,173,,,225
2023-06-23,,23,6,2023,174,174.0,110.0,172
2023-06-24,,24,6,2023,175,89.0,110.0,119
2023-06-25,66.0,25,6,2023,176,,,66
2023-06-26,0.0,26,6,2023,177,,,0
2023-06-27,,27,6,2023,178,35.0,108.0,59
2023-06-28,,28,6,2023,179,34.0,108.0,118
2023-06-29,,29,6,2023,180,74.0,108.0,177
2023-06-30,,30,6,2023,181,82.0,107.0,236
2023-07-01,295.0,1,7,2023,182,,,295
2023-07-02,,2,7,2023,183,249.0,137.0,305
2023-07-03,,3,7,2023,184,256.0,136.0,316
2023-07-04,326.0,4,7,2023,185,,,326
2023-07-05,,5,7,2023,186,272.0,136.0,325
2023-07-06,,6,7,2023,187,273.0,135.0,323
2023-07-07,,7,7,2023,188,282.0,135.0,322
2023-07-08,,8,7,2023,189,285.0,135.0,320
2023-07-09,,9,7,2023,190,279.0,134.0,319
2023-07-10,,10,7,2023,191,280.0,134.0,318
2023-07-11,,11,7,2023,192,247.0,133.0,316
2023-07-12,315.0,12,7,2023,193,,,315
2023-07-13,,13,7,2023,194,248.0,133.0,259
2023-07-14,,14,7,2023,195,248.0,132.0,204
2023-07-15,,15,7,2023,196,149.0,132.0,148
2023-07-16,92.0,16,7,2023,197,,,92
2023-07-17,209.0,17,7,2023,198,,,209
2023-07-18,304.0,18,7,2023,199,,,304
2023-07-19,,19,7,2023,200,259.0,131.0,285
2023-07-20,,20,7,2023,201,240.0,130.0,265
2023-07-21,246.0,21,7,2023,202,,,246
2023-07-22,,22,7,2023,203,237.0,129.0,243
2023-07-23,,23,7,2023,204,231.0,129.0,240
2023-07-24,,24,7,2023,205,207.0,129.0,236
2023-07-25,233.0,25,7,2023,206,,,233
2023-07-26,,26,7,2023,207,195.0,128.0,230
2023-07-27,,27,7,2023,208,196.0,128.0,227
2023-07-28,,28,7,2023,209,194.0,127.0,224
2023-07-29,,29,7,2023,210,193.0,127.0,222
2023-07-30,,30,7,2023,211,185.0,127.0,219
2023-07-31,,31,7,2023,212,191.0,126.0,216
2023-08-01,213.0,1,8,2023,213,,,213
2023-08-02,148.0,2,8,2023,214,,,148
2023-08-03,,3,8,2023,215,138.0,105.0,122
2023-08-04,,4,8,2023,216,128.0,105.0,96
2023-08-05,,5,8,2023,217,86.0,105.0,71
2023-08-06,45.0,6,8,2023,218,,,45
2023-08-07,,7,8,2023,219,91.0,104.0,83
2023-08-08,,8,8,2023,220,128.0,104.0,121
2023-08-09,159.0,9,8,2023,221,,,159
2023-08-10,,10,8,2023,222,130.0,103.0,156
2023-08-11,,11,8,2023,223,144.0,103.0,153
2023-08-12,,12,8,2023,224,143.0,102.0,150
2023-08-13,,13,8,2023,225,136.0,102.0,147
2023-08-14,144.0,14,8,2023,226,,,144
2023-08-15,129.0,15,8,2023,227,,,129
2023-08-16,,16,8,2023,228,123.0,101.0,109
2023-08-17,,17,8,2023,229,141.0,100.0,88
2023-08-18,,18,8,2023,230,80.0,100.0,68
2023-08-19,,19,8,2023,231,77.0,100.0,47
2023-08-20,27.0,20,8,2023,232,,,27
2023-08-21,,21,8,2023,233,64.0,99.0,36
2023-08-22,,22,8,2023,234,62.0,99.0,44
2023-08-23,,23,8,2023,235,58.0,98.0,52
2023-08-24,,24,8,2023,236,65.0,98.0,61
2023-08-25,,25,8,2023,237,69.0,98.0,70
2023-08-26,78.0,26,8,2023,238,,,78
2023-08-27,,27,8,2023,239,63.0,97.0,75
2023-08-28,,28,8,2023,240,63.0,96.0,72
2023-08-29,,29,8,2023,241,65.0,96.0,68
2023-08-30,,30,8,2023,242,66.0,96.0,65
2023-08-31,,31,8,2023,243,71.0,95.0,62
2023-09-01,,1,9,2023,244,117.0,75.0,59
2023-09-02,,2,9,2023,245,83.0,75.0,55
2023-09-03,,3,9,2023,246,73.0,75.0,52
2023-09-04,49.0,4,9,2023,247,,,49
2023-09-05,110.0,5,9,2023,248,,,110
2023-09-06,111.0,6,9,2023,249,,,111
2023-09-07,100.0,7,9,2023,250,,,100
2023-09-08,,8,9,2023,251,103.0,73.0,104
2023-09-09,,9,9,2023,252,105.0,72.0,109
2023-09-10,,10,9,2023,253,114.0,72.0,114
2023-09-11,118.0,11,9,2023,254,,,118
2023-09-12,115.0,12,9,2023,255,,,115
2023-09-13,,13,9,2023,256,112.0,71.0,106
2023-09-14,97.0,14,9,2023,257,,,97
2023-09-15,108.0,15,9,2023,258,,,108
2023-09-16,,16,9,2023,259,105.0,70.0,111
2023-09-17,,17,9,2023,260,108.0,70.0,114
2023-09-18,,18,9,2023,261,110.0,69.0,117
2023-09-19,,19,9,2023,262,105.0,69.0,120
2023-09-20,123.0,20,9,2023,263,,,123
2023-09-21,,21,9,2023,264,107.0,68.0,115
2023-09-22,,22,9,2023,265,95.0,68.0,107
2023-09-23,99.0,23,9,2023,266,,,99
2023-09-24,30.0,24,9,2023,267,,,30
2023-09-25,95.0,25,9,2023,268,,,95
2023-09-26,130.0,26,9,2023,269,,,130
2023-09-27,,27,9,2023,270,100.0,66.0,120
2023-09-28,,28,9,2023,271,89.0,66.0,110
2023-09-29,100.0,29,9,2023,272,,,100
2023-09-30,,30,9,2023,273,92.0,65.0,96
2023-10-01,,1,10,2023,274,121.0,95.0,91
2023-10-02,87.0,2,10,2023,275,,,87
2023-10-03,95.0,3,10,2023,276,,,95
2023-10-04,94.0,4,10,2023,277,,,94
2023-10-05,112.0,5,10,2023,278,,,112
2023-10-06,85.0,6,10,2023,279,,,85
2023-10-07,83.0,7,10,2023,280,,,83
2023-10-08,,8,10,2023,281,87.0,92.0,90
2023-10-09,97.0,9,10,2023,282,,,97
2023-10-10,100.0,10,10,2023,283,,,100
2023-10-11,85.0,11,10,2023,284,,,85
2023-10-12,,12,10,2023,285,96.0,91.0,92
2023-10-13,,13,10,2023,286,96.0,90.0,99
2023-10-14,,14,10,2023,287,96.0,90.0,106
2023-10-15,,15,10,2023,288,113.0,90.0,114
2023-10-16,,16,10,2023,289,115.0,89.0,121
2023-10-17,,17,10,2023,290,122.0,89.0,128
2023-10-18,135.0,18,10,2023,291,,,135
2023-10-19,100.0,19,10,2023,292,,,100
2023-10-20,,20,10,2023,293,106.0,88.0,85
2023-10-21,,21,10,2023,294,81.0,87.0,71
2023-10-22,56.0,22,10,2023,295,,,56
2023-10-23,104.0,23,10,2023,296,,,104
2023-10-24,,24,10,2023,297,92.0,86.0,104
2023-10-25,104.0,25,10,2023,298,,,104
2023-10-26,133.0,26,10,2023,299,,,133
2023-10-27,,27,10,2023,300,100.0,85.0,92
2023-10-28,52.0,28,10,2023,301,,,52
2023-10-29,,29,10,2023,302,59.0,85.0,53
2023-10-30,,30,10,2023,303,62.0,84.0,55
2023-10-31,56.0,31,10,2023,304,,,56
2023-11-01,63.0,1,11,2023,305,,,63
2023-11-02,63.0,2,11,2023,306,,,63
2023-11-03,,3,11,2023,307,61.0,63.0,60
2023-11-04,56.0,4,11,2023,308,,,56
2023-11-05,,5,11,2023,309,58.0,62.0,57
2023-11-06,,6,11,2023,310,58.0,62.0,57
2023-11-07,58.0,7,11,2023,311,,,58
2023-11-08,51.0,8,11,2023,312,,,51
2023-11-09,52.0,9,11,2023,313,,,52
2023-11-10,,10,11,2023,314,45.0,61.0,38
2023-11-11,25.0,11,11,2023,315,,,25
2023-11-12,9.0,12,11,2023,316,,,9
2023-11-13,,13,11,2023,317,20.0,59.0,28
2023-11-14,46.0,14,11,2023,318,,,46
2023-11-15,,15,11,2023,319,39.0,59.0,44
2023-11-16,42.0,16,11,2023,320,,,42
2023-11-17,,17,11,2023,321,42.0,58.0,45
2023-11-18,,18,11,2023,322,44.0,58.0,48
2023-11-19,,19,11,2023,323,49.0,57.0,50
2023-11-20,53.0,20,11,2023,324,,,53
2023-11-21,,21,11,2023,325,50.0,57.0,52
2023-11-22,50.0,22,11,2023,326,,,50
2023-11-23,,23,11,2023,327,45.0,56.0,42
2023-11-24,33.0,24,11,2023,328,,,33
2023-11-25,19.0,25,11,2023,329,,,19
2023-11-26,4.0,26,11,2023,330,,,4
2023-11-27,25.0,27,11,2023,331,,,25
2023-11-28,,28,11,2023,332,30.0,54.0,42
2023-11-29,59.0,29,11,2023,333,,,59
2023-11-30,30.0,30,11,2023,334,,,30
2023-12-01,44.0,1,12,2023,335,,,44
2023-12-02,22.0,2,12,2023,336,,,22
2023-12-03,,3,12,2023,337,29.0,82.0,23
2023-12-04,,4,12,2023,338,29.0,82.0,23
2023-12-05,,5,12,2023,339,26.0,82.0,24
2023-12-06,,6,12,2023,340,27.0,81.0,25
2023-12-07,,7,12,2023,341,27.0,81.0,25
2023-12-08,26.0,8,12,2023,342,,,26
2023-12-09,,9,12,2023,343,27.0,80.0,27
2023-12-10,,10,12,2023,344,27.0,80.0,28
2023-12-11,,11,12,2023,345,28.0,79.0,30
2023-12-12,31.0,12,12,2023,346,,,31
2023-12-13,21.0,13,12,2023,347,,,21
2023-12-14,24.0,14,12,2023,348,,,24
2023-12-15,16.0,15,12,2023,349,,,16
